Section,Path,Left,Right,Summary
PIS,/v2_1_1.1/payments/v2_1_1.1/EEA.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/EEA.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/EEA.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/EEA.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/nonEEA.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/nonEEA.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: nonEEARequest
  in: body
  description: Data for non SEPA foreign transfer
  required: true
  schema:
    $ref: '#/definitions/PaymentNonEEARequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/PaymentNonEEARequest'
  in: body
  name: nonEEARequest
  description: Data for non SEPA foreign transfer
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
PIS,/v2_1_1.1/payments/v2_1_1.1/nonEEA.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/nonEEA.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/nonEEA.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/nonEEA.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/tax.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/tax.post.description,,,"Removed:
- "
PIS,/v2_1_1.1/payments/v2_1_1.1/tax.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: taxRequest
  in: body
  description: Data for tax transfer
  required: true
  schema:
    $ref: '#/definitions/PaymentTaxRequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/PaymentTaxRequest'
  in: body
  name: taxRequest
  description: Data for tax transfer
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
PIS,/v2_1_1.1/payments/v2_1_1.1/tax.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/tax.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/tax.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/tax.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/bundle.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/bundle.post.description,,,"Removed:
- "
PIS,/v2_1_1.1/payments/v2_1_1.1/bundle.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: bundleRequest
  in: body
  description: Data for bundle of transfers
  required: true
  schema:
    $ref: '#/definitions/PaymentsBundleRequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/PaymentsBundleRequest'
  in: body
  name: bundleRequest
  description: Data for bundle of transfers
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
PIS,/v2_1_1.1/payments/v2_1_1.1/bundle.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/bundle.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/bundle.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/bundle.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/recurring.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/recurring.post.description,,,"Removed:
- "
PIS,/v2_1_1.1/payments/v2_1_1.1/recurring.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: recurringRequest
  in: body
  description: Data for recurring payment definition
  required: true
  schema:
    $ref: '#/definitions/RecurringPaymentRequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/RecurringPaymentRequest'
  in: body
  name: recurringRequest
  description: Data for recurring payment definition
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
PIS,/v2_1_1.1/payments/v2_1_1.1/recurring.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/recurring.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/recurring.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/recurring.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/getPayment.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/getPayment.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: payment
  in: body
  description: Payment ID
  required: true
  schema:
    $ref: '#/definitions/PaymentRequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/PaymentRequest'
  in: body
  name: payment
  description: Payment ID
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
PIS,/v2_1_1.1/payments/v2_1_1.1/getPayment.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/getPayment.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/getPayment.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/getPayment.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/getBundle.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/getBundle.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: bundle
  in: body
  description: Bundle ID
  required: true
  schema:
    $ref: '#/definitions/BundleRequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/BundleRequest'
  in: body
  name: bundle
  description: Bundle ID
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
PIS,/v2_1_1.1/payments/v2_1_1.1/getBundle.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/getBundle.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/getBundle.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/getBundle.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/getRecurringPayment.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/getRecurringPayment.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: recurringPayment
  in: body
  description: Recurring payment identification
  required: true
  schema:
    $ref: '#/definitions/RecurringPaymentStatusRequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/RecurringPaymentStatusRequest'
  in: body
  name: recurringPayment
  description: Recurring payment identification
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
PIS,/v2_1_1.1/payments/v2_1_1.1/getRecurringPayment.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/getRecurringPayment.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/getRecurringPayment.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/getRecurringPayment.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/getMultiplePayments,"x-swagger-router-controller: pis
post:
  summary: Get the status of multiple payments
  description: ''
  operationId: getMultiplePayments
  parameters:
  - $ref: '#/parameters/acceptEncodingParam'
  - $ref: '#/parameters/acceptLanguageParam'
  - $ref: '#/parameters/acceptCharsetParam'
  - $ref: '#/parameters/xjwsSignatureParam'
  - $ref: '#/parameters/xRequestIdParam'
  - name: payments
    in: body
    description: Payments ID list
    required: true
    schema:
      $ref: '#/definitions/PaymentsRequest'
  tags:
  - PIS
  responses:
    '200':
      description: Success
      schema:
        $ref: '#/definitions/PaymentsResponse'
      headers:
        Content-Encoding:
          type: string
          description: Gzip, deflate
        X-JWS-SIGNATURE:
          type: string
          description: Detached JWS signature of the body of the response
    '400':
      description: Bad request
      schema:
        $ref: '#/definitions/Error'
    '403':
      description: Forbidden
      schema:
        $ref: '#/definitions/Error'
    '405':
      description: Method Not Allowed
      schema:
        $ref: '#/definitions/Error'
    '406':
      description: Not Acceptable
      schema:
        $ref: '#/definitions/Error'
    '415':
      description: Unsupported Media Type
      schema:
        $ref: '#/definitions/Error'
    '422':
      description: Unprocessable entity
      schema:
        $ref: '#/definitions/Error'
    '429':
      description: Request limit for the requested service exceeded
      schema:
        $ref: '#/definitions/Error'
    '500':
      description: Internal Server Error
      schema:
        $ref: '#/definitions/Error'
    '503':
      description: Service Unavailable
      schema:
        $ref: '#/definitions/Error'
",,"Removed:
- x-swagger-router-controller: pis
- post: summary: Get the status of multiple payments
description: ''
operationId: getMultiplePayments
parameters:
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: payments
  in: body
  description: Payments ID list
  required: true
  schema:
    $ref: '#/definitions/PaymentsRequest'
tags:
- PIS
responses:
  '200':
    description: Success
    schema:
      $ref: '#/definitions/PaymentsResponse'
    headers:
      Content-Encoding:
        type: string
        description: Gzip, deflate
      X-JWS-SIGNATURE:
        type: string
        description: Detached JWS signature of the body of the response
  '400':
    description: Bad request
    schema:
      $ref: '#/definitions/Error'
  '403':
    description: Forbidden
    schema:
      $ref: '#/definitions/Error'
  '405':
    description: Method Not Allowed
    schema:
      $ref: '#/definitions/Error'
  '406':
    description: Not Acceptable
    schema:
      $ref: '#/definitions/Error'
  '415':
    description: Unsupported Media Type
    schema:
      $ref: '#/definitions/Error'
  '422':
    description: Unprocessable entity
    schema:
      $ref: '#/definitions/Error'
  '429':
    description: Request limit for the requested service exceeded
    schema:
      $ref: '#/definitions/Error'
  '500':
    description: Internal Server Error
    schema:
      $ref: '#/definitions/Error'
  '503':
    description: Service Unavailable
    schema:
      $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelPayments.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelPayments.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: payment data
  in: body
  description: Payments to be cancelled - identification data
  required: true
  schema:
    $ref: '#/definitions/CancelPaymentsRequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/CancelPaymentsRequest'
  in: body
  name: payment data
  description: Payments to be cancelled - identification data
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelPayments.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelPayments.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelPayments.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelPayments.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelRecurringPayment.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelRecurringPayment.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: recurring payment data
  in: body
  description: Recurring payment to be cancelled - identification data
  required: true
  schema:
    $ref: '#/definitions/CancelRecurringPaymentRequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/CancelRecurringPaymentRequest'
  in: body
  name: recurring payment data
  description: Recurring payment to be cancelled - identification data
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelRecurringPayment.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelRecurringPayment.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelRecurringPayment.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/cancelRecurringPayment.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
